,"
","639-3
","
","639-1
","
","639-2B
","
","Scope/Type
","
","Family
","
","Native
","
","eng
","
","fra
","
","spa
","
","zho
","
","rus
","
","deu
"
99,"
","aee 
","
",,"
",,"
",I/L,"
",Indo-European,"
",,"
","Pashayi, Northeast","
",,"
",,"
",,"
",северо-восточный пашайи,"
","
"
100,"
","aek 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Haeke,"
",,"
",,"
",,"
",хаэке,"
","
"
101,"
","ael 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ambele,"
",,"
",,"
",,"
",амбеле,"
","
"
102,"
","aem 
","
",,"
",,"
",I/L,"
",Austroasiatic,"
",,"
",Arem,"
",,"
",,"
",,"
",арем,"
","
"
103,"
","aen 
","
",,"
",,"
",I/L,"
",isolate,"
",,"
",Armenian Sign Language,"
",langue des signes arménienne,"
",,"
",亚美尼亚手语,"
",армянский жестовый,"
","
"
104,"
","aeq 
","
",,"
",,"
",I/L,"
",Indo-Aryan,"
",,"
",Aer,"
",,"
",,"
",,"
",аэр,"
","
"
105,"
","aer 
","
",,"
",,"
",I/L,"
",Pama–Nyungan,"
",,"
","Arrernte, Eastern","
",,"
",,"
",,"
",восточный аррернте,"
","
"
106,"
","aes 
","
",,"
",,"
",I/E,"
",Penutian,"
",,"
",Alsea,"
",,"
",,"
",,"
",алсеа,"
","
"
107,"
","aeu 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Akeu,"
",,"
",,"
",,"
",акеу,"
","
"
108,"
","aew 
","
",,"
",,"
",I/L,"
",Ramu,"
",,"
",Ambakich,"
",,"
",,"
",,"
",амбакич,"
","
"
109,"
","(aex) 
","
",,"
",,"
",I/L,"
",spurious language,"
",,"
",Amerax,"
",,"
",,"
",,"
",амераш,"
","
"
110,"
","aey 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Amele,"
",,"
",,"
",,"
",амеле,"
","
"
111,"
","aez 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Aeka,"
",,"
",,"
",,"
",аэка,"
","
"
112,"
","afb 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
","Arabic, Gulf Spoken","
",arabe (parlé du Golfe),"
",,"
",波斯湾阿拉伯语,"
",галфский арабский,"
","
"
113,"
","afd 
","
",,"
",,"
",I/L,"
",Ramu,"
",,"
",Andai,"
",,"
",,"
",,"
",андай,"
","
"
114,"
","afe 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Putukwam,"
",,"
",,"
",,"
",путуквам,"
","
"
115,"
","afg 
","
",,"
",,"
",I/L,"
",isolate,"
",,"
",Afghan Sign Language,"
",,"
",,"
",阿富汗手语,"
",африканский жестовый,"
","
"
116,"
","afh 
","
",,"
",afh,"
",I/C,"
",constructed,"
",,"
",Afrihili,"
",afrihili,"
",,"
",阿弗里希利语,"
",африхили,"
","Afrihili
"
117,"
","afi 
","
",,"
",,"
",I/L,"
",Ramu,"
",,"
",Akrukay,"
",,"
",,"
",,"
",акрукай,"
","
"
118,"
","afk 
","
",,"
",,"
",I/L,"
",Ramu,"
",,"
",Nanubae,"
",,"
",,"
",,"
",нанубаэ,"
","
"
119,"
","afn 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Defaka,"
",,"
",,"
",,"
",дефака,"
","
"
120,"
","afo 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Eloyi,"
",,"
",,"
",,"
",элойи,"
","
"
121,"
","afp 
","
",,"
",,"
",I/L,"
",Ramu,"
",,"
",Tapei,"
",,"
",,"
",,"
",тапеи,"
","
"
122,"
","afr 
","
",af,"
",afr,"
",I/L,"
",Indo-European,"
",Afrikaans,"
",Afrikaans,"
",Afrikaans,"
",Afrikaans,"
",阿非利堪斯语; 南非荷兰语; 南非语,"
",африкаанс,"
","Afrikaans
"
123,"
","afs 
","
",,"
",,"
",I/L,"
",English Creole,"
",,"
",Afro-Seminole Creole,"
",créole afro-séminole,"
",,"
",,"
",афро-семинольский креольский,"
","
"
124,"
","aft 
","
",,"
",,"
",I/L,"
",Nilo-Saharan,"
",,"
",Afitti,"
",,"
",,"
",,"
",афитти,"
","
"
125,"
","afu 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Awutu,"
",,"
",,"
",,"
",авуту,"
","
"
126,"
","afz 
","
",,"
",,"
",I/L,"
",Lakes Plain,"
",,"
",Obokuitai,"
",,"
",,"
",,"
",обокуитаи,"
","
"
127,"
","aga 
","
",,"
",,"
",I/E,"
",unclassified,"
",,"
",Aguano,"
",,"
",,"
",,"
",агуано,"
","
"
128,"
","agb 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Legbo,"
",,"
",,"
",,"
",легбо,"
","
"
129,"
","agc 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Agatu,"
",,"
",,"
",,"
",агату,"
","
"
130,"
","agd 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Agarabi,"
",,"
",,"
",,"
",агараби,"
","
"
131,"
","age 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Angal,"
",,"
",,"
",,"
",ангал,"
","
"
132,"
","agf 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Arguni,"
",,"
",,"
",,"
",аргуни,"
","
"
133,"
","agg 
","
",,"
",,"
",I/L,"
",Senagi,"
",,"
",Angor,"
",,"
",,"
",,"
",ангор,"
","
"
134,"
","agh 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ngelima,"
",,"
",,"
",,"
",нгелима,"
","
"
135,"
","agi 
","
",,"
",,"
",I/L,"
",Austroasiatic,"
",,"
",Agariya,"
",,"
",,"
",,"
",агария,"
","
"
136,"
","agj 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Argobba,"
",,"
",,"
",,"
",аргобба,"
","
"
137,"
","agk 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
","Agta, Isarog","
",,"
",,"
",,"
",исарог-агта,"
","
"
138,"
","agl 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Fembe,"
",,"
",,"
",,"
",фембе,"
","
"
139,"
","agm 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Angaatiha,"
",,"
",,"
",,"
",ангаатиха,"
","
"
140,"
","agn 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Agutaynen,"
",,"
",,"
",,"
",агутайнен,"
","
"
141,"
","ago 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Tainae,"
",,"
",,"
",,"
",тайнаэ,"
","
"
142,"
","(agp) 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Paranan,"
",,"
",,"
",,"
",паранан,"
","
"
143,"
","agq 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",aghím,"
",Aghem,"
",,"
",,"
",,"
",агхем,"
","
"
144,"
","agr 
","
",,"
",,"
",I/L,"
",Jivaroan,"
",awajun,"
",Aguaruna,"
",,"
",aguaruna,"
",,"
",агуаруна,"
","
"
145,"
","ags 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Esimbi,"
",,"
",,"
",,"
",эсимби,"
","
"
146,"
","agt 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
","Agta, Central Cagayan","
",,"
",,"
",,"
",центрально-кагаянский агта,"
","
"
147,"
","agu 
","
",,"
",,"
",I/L,"
",Mayan,"
",awakateko,"
",Aguacateco,"
",,"
",aguacateco,"
",,"
",агуакатеко,"
","
"
148,"
","agv 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
","Agta, Remontado","
",,"
",,"
",,"
",ремонтадо-агта,"
","
"
149,"
","agw 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Kahua,"
",,"
",,"
",,"
",кахуа,"
","
"
150,"
","agx 
","
",,"
",,"
",I/L,"
",Northeast Caucasian,"
",агъул,"
",Aghul,"
",,"
",aghul,"
",阿古尔语,"
",агульский,"
","
"
151,"
","agy 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
","Alta, Southern","
",,"
",,"
",,"
",южный альта,"
","
"
152,"
","agz 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
","Agta, Mt. Iriga","
",,"
",,"
",,"
",агта (мт. Ирига),"
","
"
153,"
","aha 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ahanta,"
",,"
",,"
",,"
",аханта,"
","
"
154,"
","ahb 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Axamb,"
",,"
",,"
",,"
",ахамб,"
","
"
155,"
","(ahe) 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Ahe,"
",,"
",,"
",,"
",ахе,"
","
"
156,"
","ahg 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Qimant,"
",,"
",,"
",,"
",кимант,"
","
"
157,"
","ahh 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Aghu,"
",,"
",,"
",,"
",агху,"
","
"
158,"
","ahi 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
","Aizi, Tiagbamrin","
",,"
",,"
",,"
",тиагбамрин-айзи,"
","
"
159,"
","ahk 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Akha,"
",,"
",,"
",雅尼语,"
",акха,"
","
"
160,"
","ahl 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Igo,"
",,"
",,"
",,"
",иго,"
","
"
161,"
","ahm 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
","Aizi, Mobumrin","
",,"
",,"
",,"
",мобумрин-айзи,"
","
"
162,"
","ahn 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Àhàn,"
",,"
",,"
",,"
",ахан,"
","
"
163,"
","aho 
","
",,"
",,"
",I/E,"
",Tai–Kadai,"
",,"
",Ahom,"
",,"
",,"
",阿霍姆语,"
",ахом,"
","
"
164,"
","ahp 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
","Aizi, Aproumu","
",,"
",,"
",,"
",апроуму-айзи,"
","
"
165,"
","ahr 
","
",,"
",,"
",I/L,"
",Indo-European,"
",,"
",Ahirani,"
",,"
",,"
",,"
",ахирани,"
","
"
166,"
","ahs 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ashe,"
",,"
",,"
",,"
",аше,"
","
"
167,"
","aht 
","
",,"
",,"
",I/L,"
",Dené–Yeniseian,"
",,"
",Ahtena,"
",,"
",,"
",,"
",ахтена,"
","
"
168,"
","aia 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Arosi,"
",,"
",,"
",,"
",ароси,"
","
"
169,"
","aib 
","
",,"
",,"
",I/L,"
",Turkic,"
",,"
",Ainu (China),"
",aïnou (Chine),"
",,"
",艾努语,"
",айну (Китай),"
","
"
170,"
","aic 
","
",,"
",,"
",I/L,"
",Border,"
",,"
",Ainbai,"
",,"
",,"
",,"
",айнбай,"
","
"
171,"
","aid 
","
",,"
",,"
",I/E,"
",Pama–Nyungan,"
",,"
",Alngith,"
",,"
",,"
",,"
",ангит,"
","
"
